; ************
; * NAME     : ZOOM.asm
; * AUTOR    : R.Reber, BlueByte
; * START    : 25.05.94 14:00
; * PROJECT  : ALBION
; * NOTES    :
; * SEE ALSO :
; * VERSION  : 1.0
; ************/

	.386p

	ASSUME DS:ZOOM_DATA

	.MODEL FLAT
	.CODE

; Public Functions
	PUBLIC	C ZOOM_BLOCK_ 						; horizontale Linie

; Public Variablen
	PUBLIC	_ZOOMFUNC_DESTCLIPX0 ; Clipping Variablen fÅr ZoomBob
	PUBLIC	_ZOOMFUNC_DESTCLIPY0
	PUBLIC	_ZOOMFUNC_DESTCLIPX1
	PUBLIC	_ZOOMFUNC_DESTCLIPY1

; Include Files
	INCLUDE d:\PCLIB32\LIB\ASMINC\BBMACRO.INC
	INCLUDE d:\PCLIB32\LIB\ASMINC\BBHARD.INC

; Zoommodes
ZOOMMODE_NORMAL=0
ZOOMMODE_SILHOUETTE=1
ZOOMMODE_RECOLOUR=2
ZOOMMODE_TRANSPARENT=3

ZOOM_CODE SEGMENT PARA USE32 'CODE'	;

;ZOOMBOB
;******************************************************************************
;* #FUNCTION HEADER BEGIN#
;* NAME      : ZOOM_BLOCK
;* FUNCTION  : Stellt OPM mit wahlweiser Breite und Hîhe dar (interne Funktion)
;*					Farbe 0 wird durchsichtig dargestellt
;*
;* INPUTS    : OPM(EDI)= Zeiger auf OPM
;*					Xpos(EAX) = X Position Bildschirm
;*					Ypos(EBX) = Y Position Bildschirm
;*					sizex(ECX) = neue Grîsse in X
;*					sizey(EDX) = neue Grîsse in Y
;* INPUTS    : sourceptr = Zeiger auf QUELLOPM
;*					destptr = Zeiger auf Zielopm
;*					sourcenextypos = Breite QuellHauptopm
;*					sourcewidth = Breite QuellBereich
;*					sourceheight = Hîhe QuellBereich
;*					destnextypos = Breite ZielHauptopm
;*					destwidth = neue Breite ZielBereich
;*					destheight = neue Hîhe ZielBereich
;*					destx = xpos ZielBereich
;*					desty = ypos ZielBereich
;*					color = Zeichenfarbe (nur wenn shilouetteMode)
;*					zoommode = ZOOMMODE_NORMAL = Graphik mit Farbe 0 transparent zeichnen
;*                        ZOOMMODE_SILHOUETTE = GraphikUmriss mit color zeichnen
;*                        ZOOMMODE_RECOLOUR = Graphik mittels Umrechnungstabelle zeichnen
;*                        ZOOMMODE_TRANSPARENT = Graphik mittels Urechnungstabelle transparent zeichnen
;*
;* zusÑtzlich mÅssen folgende Globale Variablen initialisiert sein !
;*					destcx0 = Clipx0 Zielbereich
;*					destcy0 = Clipy0 Zielbereich
;*					destcx1 = Clipx1 Zielbereich
;*					destcy1 = Clipy1 Zielbereich
;* RESULT    :
;*
;* FILE      : SCREEN.ASM
;* AUTHOR    : VIPER
;* FIRST     : 30.08.94 13:35:58
;* LAST      : 18.01.95 15:40:55
;* BUGS      :
;* NOTES     : Das QuellOPM darf kein virtuelles OPM sein !!!
;* SEE ALSO  :
;* VERSION   : 0.1
;* #FUNCTION HEADER END#

ZOOM_BLOCK_ PROC C USES EBP sourceptr:DWORD,destptr:DWORD,sourcenextypos:DWORD,sourcewidth:DWORD,sourceheight:DWORD,destnextypos:DWORD,destwidth:DWORD,destheight:DWORD,destxpos:DWORD,destypos:DWORD,color:DWORD,zoommode:DWORD

; ZielBob zentrieren
	movme	ZOOM_DWIDTH,DESTWIDTH
	movme	ZOOM_DHEIGHT,DESTHEIGHT

;	Breite / Hîhe des OPMS
	mov 	EAX,SOURCEWIDTH  ; Breite
	sal	EAX,16
	mov	ZOOM_SWIDTH,EAX
	mov	ZOOM_SBAKWIDTH,EAX

	mov 	EAX,SOURCEHEIGHT  ; Hîhe des OPM
	sal	EAX,16
	mov	ZOOM_SHEIGHT,EAX
	mov	ZOOM_SBAKHEIGHT,EAX

; Clipping
	movme	ZOOM_SXOFFSET,ZOOM_SBAKWIDTH ; Offset auf QuellBitmap
	mov	ZOOM_SYOFFSET,0

; links
	mov	EAX,DESTXPOS
